project_code,reporting_month,reporting_year,original_cost,revised_cost,expenditure,physical_progress,month_num,current_revised_cost,current_cost_escalation_amount,current_cost_escalation_percent,cumulative_expenditure,expenditure_ratio,project_age_days,planned_duration_days,schedule_slip_days,previous_expenditure,previous_revised_cost,previous_physical_progress,expenditure_delta,cost_revision_delta,physical_progress_delta,schedule_change_delta_days,time_delta_months,expenditure_velocity,cost_revision_velocity,physical_progress_velocity,schedule_slip_velocity,remaining_physical_progress,remaining_duration_days,cost_to_progress_ratio,expenditure_to_progress_ratio,previous_progress_velocity,progress_velocity_deceleration,time_target
- Sairang road in the State of Assam under Bharatmala Pariyojna on EPC mode,April,2026,1256.9,1256.9,550.91,55.46,4,1256.9,0.0,0.0,550.91,0.438308536876442,821.0,912.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,44.54,91.0,0.7903147076747963,9.933465560764514,0.0,0.0,0.0
- Sairang road in the State of Assam under Bharatmala Pariyojna on EPC mode,May,2026,1256.9,1256.9,551.61,55.46,5,1256.9,0.0,0.0,551.61,0.43886546264619297,851.0,912.0,0.0,550.91,1256.9,55.46,0.7000000000000455,0.0,0.0,0.0,1.0,0.7000000000000455,0.0,0.0,0.0,44.54,61.0,0.7913189012733375,9.94608727010458,0.0,0.0,0.0
- Sairang road in the State of Assam under Bharatmala Pariyojna on EPC mode,June,2026,1256.9,1256.9,575.03,59.65,6,1256.9,0.0,0.0,575.03,0.45749860768557554,882.0,912.0,0.0,551.61,1256.9,55.46,23.41999999999996,0.0,4.189999999999998,0.0,1.0,23.41999999999996,0.0,4.189999999999998,0.0,40.35,30.0,0.7669716809481568,9.640067057837385,0.0,-4.189999999999998,1.0
- Vairengte- Sairang road in the State of Mizoram under Bharatmala Pariyojna under,April,2026,491.39,491.39,32.46,17.86,4,491.39,0.0,0.0,32.46,0.0660575103278455,274.0,549.0,-31.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,82.14,244.0,0.3698628797751708,1.8174692049272116,0.0,0.0,0.0
- Vairengte- Sairang road in the State of Mizoram under Bharatmala Pariyojna under,May,2026,491.39,491.39,34.51,17.86,5,491.39,0.0,0.0,34.51,0.07022934939660962,304.0,549.0,-31.0,32.46,491.39,17.86,2.049999999999997,0.0,0.0,0.0,1.0,2.049999999999997,0.0,0.0,0.0,82.14,214.0,0.3932214411904234,1.9322508398656215,0.0,0.0,0.0
- Vairengte- Sairang road in the State of Mizoram under Bharatmala Pariyojna under,June,2026,491.39,491.39,237.85,17.86,6,491.39,0.0,0.0,237.85,0.48403508414904656,335.0,549.0,-31.0,34.51,491.39,17.86,203.34,0.0,0.0,0.0,1.0,203.34,0.0,0.0,0.0,82.14,183.0,2.710162845179432,13.317469204927212,0.0,0.0,0.0
0.000 to Km. 31.300 Pkg-1,April,2026,809.51,966.99,499.54,65.99,4,966.99,157.48000000000002,0.1945374362268533,499.54,0.5165927258813432,1035.0,731.0,699.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34.010000000000005,395.0,0.7828348626781986,7.569934838611911,0.0,0.0,0.0
0.000 to Km. 31.300 Pkg-1,May,2026,809.51,966.99,501.76,66.9,5,966.99,157.48000000000002,0.1945374362268533,501.76,0.5188885097053744,1065.0,731.0,699.0,499.54,966.99,65.99,2.2199999999999704,0.0,0.9100000000000108,0.0,1.0,2.2199999999999704,0.0,0.9100000000000108,0.0,33.099999999999994,365.0,0.775618101203848,7.500149476831091,0.0,-0.9100000000000108,0.0
0.000 to Km. 31.300 Pkg-1,June,2026,809.51,966.99,669.72,67.8,6,966.99,157.48000000000002,0.1945374362268533,669.72,0.6925821363199206,1096.0,731.0,699.0,501.76,966.99,66.9,167.96000000000004,0.0,0.8999999999999915,0.0,1.0,167.96000000000004,0.0,0.8999999999999915,0.0,32.2,334.0,1.0215075756930982,9.877876106194691,0.9100000000000108,0.010000000000019327,0.0
0.328 on Dharasu-Yamunotri section b/w Chainage 25.400km and 51.00km falling,April,2026,1383.78,1383.78,688.93,70.64,4,1383.78,0.0,0.0,688.93,0.49786093165098494,2831.0,1461.0,1704.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,29.36,334.0,0.7047861433337839,9.752689694224236,0.0,0.0,0.0
